v	j	prob
TRBV11-1	TRBJ2-7	9.564900269222747E-4
TRBV11-1	TRBJ2-6	1.200726210948822E-4
TRBV11-1	TRBJ2-5	5.177792151235902E-4
TRBV11-1	TRBJ2-4	7.06134149709146E-5
TRBV27	TRBJ1-6	0.0014494830793871452
TRBV27	TRBJ1-4	0.001422996413366704
TRBV27	TRBJ1-5	0.003202244565554746
TRBV5-5	TRBJ2-2	5.421467447996489E-4
TRBV5-5	TRBJ2-1	0.001001356906478603
TRBV5-5	TRBJ2-6	1.679786179223785E-4
TRBV7-5	TRBJ1-6	5.635874119098628E-6
TRBV5-5	TRBJ2-5	7.835264760607737E-4
TRBV5-5	TRBJ2-4	1.3792330805177867E-4
TRBV5-5	TRBJ2-3	7.999148169432693E-4
TRBV7-5	TRBJ1-2	1.7666348654953968E-5
TRBV7-5	TRBJ1-3	5.374761912515496E-6
TRBV7-5	TRBJ1-4	7.2125901357736906E-6
TRBV5-5	TRBJ2-7	0.0017265632465004596
TRBV7-5	TRBJ1-5	1.859823008876122E-5
TRBV7-5	TRBJ1-1	1.810271284127252E-5
TRBV1	TRBJ1-4	2.019812174507384E-5
TRBV22-1	TRBJ1-3	1.4236464348784425E-7
TRBV1	TRBJ1-5	4.718339509828909E-5
TRBV22-1	TRBJ1-4	1.9864833975048033E-7
TRBV1	TRBJ1-6	1.626102201140807E-5
TRBV22-1	TRBJ1-1	6.621611325016011E-7
TRBV22-1	TRBJ1-2	5.429721286513129E-7
TRBV1	TRBJ1-1	5.0083109057702344E-5
TRBV1	TRBJ1-2	4.928244588831916E-5
TRBV1	TRBJ1-3	1.564521215818158E-5
TRBV7-8	TRBJ1-5	0.001895572978059698
TRBV7-8	TRBJ1-6	7.399843786035701E-4
TRBV7-8	TRBJ1-3	8.185777181026387E-4
TRBV7-8	TRBJ1-4	8.817940207021907E-4
TRBV16	TRBJ1-1	1.320411099913893E-4
TRBV16	TRBJ1-2	1.1898351317883524E-4
TRBV16	TRBJ1-3	2.9224923023713167E-5
TRBV7-8	TRBJ1-1	0.0025676279014827585
TRBV7-8	TRBJ1-2	0.0024572498343819163
TRBV16	TRBJ1-4	4.03012233676337E-5
TRBV16	TRBJ1-5	9.963295768336342E-5
TRBV16	TRBJ1-6	2.5242134171904788E-5
TRBV10-3	TRBJ2-7	0.0029874298376547093
TRBV13	TRBJ1-6	2.2207295197385687E-4
TRBV5-2	TRBJ2-1	6.949932886548059E-7
TRBV13	TRBJ1-5	2.3523693600836605E-4
TRBV13	TRBJ1-4	2.5274922183982475E-4
TRBV13	TRBJ1-3	2.7634566487708573E-4
TRBV10-3	TRBJ2-3	0.0017045190746980655
TRBV13	TRBJ1-2	7.447349432885142E-4
TRBV10-3	TRBJ2-4	1.5105440475004028E-4
TRBV13	TRBJ1-1	9.490975128921077E-4
TRBV10-3	TRBJ2-5	0.0013038694871225875
TRBV10-3	TRBJ2-6	2.7300914529059883E-4
TRBV5-2	TRBJ2-6	2.9344774188695947E-7
TRBV5-2	TRBJ2-7	4.344328830154258E-7
TRBV5-2	TRBJ2-4	7.934897571144187E-8
TRBV5-2	TRBJ2-5	2.3186675656431062E-7
TRBV5-2	TRBJ2-2	3.5558052815335973E-7
TRBV5-2	TRBJ2-3	4.945240057899458E-7
TRBV11-1	TRBJ2-3	6.574445587547901E-4
TRBV11-1	TRBJ2-2	5.334286209689437E-4
TRBV11-1	TRBJ2-1	0.001027866435451481
TRBV22-1	TRBJ1-5	5.95945019251441E-7
TRBV22-1	TRBJ1-6	2.1189156240051236E-7
TRBV6-4	TRBJ1-3	9.12705247410008E-5
TRBV6-4	TRBJ1-2	6.530563065695146E-4
TRBV6-4	TRBJ1-1	7.648415764371137E-4
TRBV6-4	TRBJ1-6	2.628406678593379E-4
TRBV6-4	TRBJ1-5	4.2013947280924557E-4
TRBV6-4	TRBJ1-4	1.416958607440177E-4
TRBV12-3	TRBJ1-1	0.0031385862703992504
TRBV3-2	TRBJ1-5	9.316606030695652E-4
TRBV3-2	TRBJ1-6	5.815811992448387E-4
TRBV12-2	TRBJ2-1	8.193846718027813E-5
TRBV3-2	TRBJ1-1	0.0020191212093656195
TRBV3-2	TRBJ1-2	0.00190837442887416
TRBV10-3	TRBJ2-1	0.0020607639711877016
TRBV3-2	TRBJ1-3	6.460978759484335E-4
TRBV10-3	TRBJ2-2	0.0011168816393751784
TRBV3-2	TRBJ1-4	6.845001315482412E-4
TRBV6-3	TRBJ2-7	0.003145962975332379
TRBV6-3	TRBJ2-6	3.164886593240981E-4
TRBV6-3	TRBJ2-5	0.001286653582774706
TRBV6-3	TRBJ2-4	2.554229733127719E-4
