v	j	prob
TRBV6-3	TRBJ2-3	0.0015574198687526466
TRBV6-3	TRBJ2-2	0.0010794678799860063
TRBV6-3	TRBJ2-1	0.002162261914897436
TRBV6-7	TRBJ1-1	3.831904401749014E-5
TRBV6-7	TRBJ1-2	3.593912654709064E-5
TRBV6-7	TRBJ1-3	1.470505371021805E-5
TRBV6-7	TRBJ1-4	1.900214837958719E-5
TRBV6-7	TRBJ1-5	4.156639257146674E-5
TRBV6-7	TRBJ1-6	1.300959013044771E-5
TRBV6-6	TRBJ2-5	0.0015181144437614734
TRBV6-6	TRBJ2-6	4.186471455502345E-4
TRBV6-6	TRBJ2-7	0.003823103562956828
TRBV6-6	TRBJ2-1	0.0024741474875354962
TRBV6-1	TRBJ1-1	0.00383468901003156
TRBV6-1	TRBJ1-2	0.0036270368239217023
TRBV6-6	TRBJ2-2	0.0013343350793882322
TRBV6-6	TRBJ2-3	0.001837801847173085
TRBV6-6	TRBJ2-4	3.0884442290007527E-4
TRBV6-1	TRBJ1-5	0.0027784271187350222
TRBV6-1	TRBJ1-6	0.0010645487275096131
TRBV6-1	TRBJ1-3	0.0010287633327054515
TRBV6-1	TRBJ1-4	0.0012017179995717565
TRBV6-3	TRBJ2-2P	1.6554028312540028E-9
TRBV27	TRBJ1-2	0.0041663964221544635
TRBV27	TRBJ1-3	7.236587958817433E-4
TRBV27	TRBJ1-1	0.004557647239435118
TRBV6-9	TRBJ2-3	2.2785273577908595E-4
TRBV6-9	TRBJ2-2	1.7474057062075515E-4
TRBV12-3	TRBJ1-6	7.499632572305582E-4
TRBV6-9	TRBJ2-5	1.8173490508991032E-4
TRBV6-9	TRBJ2-4	4.305316503431029E-5
TRBV6-9	TRBJ2-7	4.461191809092977E-4
TRBV12-3	TRBJ1-3	8.811918955123696E-4
TRBV6-9	TRBJ2-6	8.2590364815226E-5
TRBV12-3	TRBJ1-2	0.0027912387226868497
TRBV12-3	TRBJ1-5	0.002225298872993587
TRBV12-3	TRBJ1-4	9.721470108339218E-4
TRBV29-1	TRBJ1-6	1.8455092923952125E-4
TRBV29-1	TRBJ1-5	9.067071711514299E-4
TRBV29-1	TRBJ1-4	9.205198523754134E-4
TRBV29-1	TRBJ1-3	7.308007554967171E-4
TRBV29-1	TRBJ1-2	0.0036402131682973524
TRBV29-1	TRBJ1-1	0.004279630169499411
TRBV6-9	TRBJ2-1	2.937166160934843E-4
TRBV26	TRBJ2-6	4.155061106447547E-7
TRBV26	TRBJ2-7	6.05877436238965E-7
TRBV26	TRBJ2-4	7.614853023768413E-8
TRBV26	TRBJ2-5	3.079049266132445E-7
TRBV7-4	TRBJ2-6	7.948135275784798E-5
TRBV5-6	TRBJ1-6	3.385559239959885E-4
TRBV7-4	TRBJ2-7	5.194438882106989E-4
TRBV5-6	TRBJ1-5	7.004031451073432E-4
TRBV5-6	TRBJ1-4	4.224673002705554E-4
TRBV5-6	TRBJ1-3	3.299606310553627E-4
TRBV5-6	TRBJ1-2	0.0011717785495059785
TRBV5-6	TRBJ1-1	0.001173155292860638
TRBV7-4	TRBJ2-1	8.433153406716716E-4
TRBV7-4	TRBJ2-2	4.7018031391465556E-4
TRBV7-4	TRBJ2-3	6.356129958560246E-4
TRBV7-4	TRBJ2-4	3.632207640205405E-5
TRBV7-4	TRBJ2-5	4.008863653604399E-4
TRBV12-5	TRBJ2-7	6.358556779110876E-4
TRBV12-5	TRBJ2-5	4.084209865269876E-4
TRBV12-5	TRBJ2-6	7.000919293750679E-5
TRBV12-5	TRBJ2-3	4.957335534586487E-4
TRBV12-5	TRBJ2-4	5.101841165736086E-5
TRBV12-5	TRBJ2-1	7.103388729005301E-4
TRBV12-5	TRBJ2-2	3.700553705098448E-4
TRBV7-9	TRBJ2-7	0.006200111644487045
TRBV7-9	TRBJ2-5	0.0028980049031369125
TRBV7-9	TRBJ2-6	5.367795425600632E-4
TRBV7-9	TRBJ2-3	0.003124468332893185
TRBV7-9	TRBJ2-4	4.025998176509772E-4
TRBV7-9	TRBJ2-1	0.004391473139352357
TRBV7-9	TRBJ2-2	0.002160367683421046
TRBV14	TRBJ2-7	0.0016618548189689106
TRBV14	TRBJ2-6	1.528894739685797E-4
TRBV14	TRBJ2-5	7.992597188628486E-4
TRBV14	TRBJ2-4	1.1821827563004088E-4
TRBV14	TRBJ2-3	8.495632172174852E-4
TRBV14	TRBJ2-2	5.892682278320496E-4
TRBV14	TRBJ2-1	0.0012500504097752172
TRBV5-1	TRBJ1-1	0.008517972605903944
TRBV4-1	TRBJ2-4	2.847396608334309E-4
TRBV4-1	TRBJ2-5	0.0013959605582603116
TRBV4-1	TRBJ2-6	3.150099155649864E-4
TRBV5-1	TRBJ1-3	0.0020183185597128376
TRBV4-1	TRBJ2-7	0.0033152501616028145
TRBV5-1	TRBJ1-2	0.005730116533362482
TRBV5-1	TRBJ1-5	0.0020492198540036674
TRBV26	TRBJ2-2	2.5824284167562445E-7
TRBV4-1	TRBJ2-1	0.0025033778182084543
TRBV26	TRBJ2-3	3.290940828532958E-7
TRBV5-1	TRBJ1-4	0.0029562998218726957
TRBV4-1	TRBJ2-2	0.0012242043846504712
TRBV4-1	TRBJ2-3	0.0017713608198582501
TRBV5-1	TRBJ1-6	0.0017385094610322027
TRBV26	TRBJ2-1	5.244316169412681E-7
TRBV6-1	TRBJ2-2P	8.828815100021348E-9
TRBV3-1	TRBJ2-5	0.0015852128683273242
TRBV3-1	TRBJ2-6	2.71260377739662E-4
TRBV3-1	TRBJ2-7	0.002721240896848785
TRBV3-1	TRBJ2-1	0.0021055544263133196
TRBV3-1	TRBJ2-2	0.001094784329141901
TRBV3-1	TRBJ2-3	0.0016259492419192008
TRBV3-1	TRBJ2-4	2.602400300114379E-4
TRBV19	TRBJ1-3	0.0014812835884959118
TRBV19	TRBJ1-4	0.002112594192393508
TRBV19	TRBJ1-1	0.007032504821211759
TRBV19	TRBJ1-2	0.005800884894038404
TRBV19	TRBJ1-5	0.006261181790889342
TRBV19	TRBJ1-6	0.001436979049281362
TRBV20-1	TRBJ2-2	0.004341125073874835
TRBV20-1	TRBJ2-3	0.009327244752891166
TRBV20-1	TRBJ2-4	0.001362479300263607
TRBV20-1	TRBJ2-5	0.007964736758978484
TRBV20-1	TRBJ2-1	0.012438758675748276
TRBV20-1	TRBJ2-6	9.664639025540369E-4
TRBV20-1	TRBJ2-7	0.015182641841442388
TRBV12-4	TRBJ2-1	0.0029391949858581065
TRBV12-4	TRBJ2-3	0.0020787465017834262
TRBV12-4	TRBJ2-2	0.0016421593878835948
TRBV12-4	TRBJ2-5	0.0017399337696282135
TRBV12-4	TRBJ2-4	3.250376837555907E-4
TRBV12-4	TRBJ2-7	0.0033863354031673696
TRBV12-4	TRBJ2-6	3.867799053140038E-4
TRBV6-2	TRBJ1-1	0.0017953332600585833
TRBV12-1	TRBJ1-1	3.0794907068874456E-5
TRBV12-1	TRBJ1-2	2.783924049376481E-5
TRBV12-1	TRBJ1-3	8.423020685986619E-6
TRBV6-2	TRBJ1-4	4.816649469569529E-4
TRBV6-2	TRBJ1-5	0.001433689763855662
TRBV6-2	TRBJ1-2	0.0015608478769356066
TRBV6-2	TRBJ1-3	4.0330060484954127E-4
TRBV6-2	TRBJ1-6	4.8475150071592045E-4
TRBV6-8	TRBJ2-2	8.159661545960523E-4
TRBV6-8	TRBJ2-1	0.0014298419639080606
TRBV6-8	TRBJ2-7	0.002283251233703495
TRBV6-8	TRBJ2-4	1.6939908230514776E-4
TRBV6-8	TRBJ2-3	0.0010435467421496814
TRBV6-8	TRBJ2-6	2.4369571339550797E-4
TRBV6-8	TRBJ2-5	8.908415880896793E-4
TRBV8-2	TRBJ1-4	7.283772457517612E-8
TRBV8-2	TRBJ1-5	1.0594578120025618E-7
TRBV8-2	TRBJ1-6	1.3243222650032022E-8
TRBV8-2	TRBJ1-1	1.6554028312540027E-7
TRBV8-2	TRBJ1-2	2.516212303506084E-7
TRBV8-2	TRBJ1-3	1.3243222650032022E-8
TRBV11-3	TRBJ1-3	3.3442459033012137E-4
TRBV11-3	TRBJ1-4	3.581200264566913E-4
TRBV11-3	TRBJ1-5	3.703738700145768E-4
TRBV11-3	TRBJ1-6	2.9207519221947144E-4
TRBV21-1	TRBJ2-6	8.830481538871483E-5
TRBV21-1	TRBJ2-5	3.5018446672441543E-4
TRBV21-1	TRBJ2-7	0.0010163893069020163
TRBV21-1	TRBJ2-2	2.753815582681631E-4
TRBV9	TRBJ1-3	0.0016859649886848032
TRBV30	TRBJ1-5	0.0025807001762004154
TRBV21-1	TRBJ2-1	4.95458315147905E-4
TRBV9	TRBJ1-2	0.0037176598654353053
TRBV30	TRBJ1-4	0.001478036350302124
TRBV9	TRBJ1-1	0.004293725593526972
TRBV21-1	TRBJ2-4	9.82104148503725E-5
TRBV21-1	TRBJ2-3	3.669635194618171E-4
TRBV30	TRBJ1-6	0.0013352214372441785
TRBV30	TRBJ1-1	0.0040482710698033515
TRBV30	TRBJ1-3	0.0013564205259012174
TRBV30	TRBJ1-2	0.0036766816926698783
TRBV12-1	TRBJ1-4	1.1820238376286082E-5
TRBV12-1	TRBJ1-5	3.065110774293286E-5
TRBV12-1	TRBJ1-6	9.38315432811394E-6
TRBV3-2	TRBJ2-2P	1.6554028312540028E-9
TRBV9	TRBJ1-6	0.0011538021990808237
TRBV9	TRBJ1-5	0.0013601638331434383
TRBV9	TRBJ1-4	0.0014324276847371123
TRBV2	TRBJ2-2P	6.621611325016011E-9
TRBV2	TRBJ1-3	0.0012201154292970846
TRBV2	TRBJ1-4	0.0019053059741861466
TRBV2	TRBJ1-5	0.003786653192835365
TRBV2	TRBJ1-6	0.0014418627083539392
TRBV2	TRBJ1-1	0.004805112194717201
TRBV2	TRBJ1-2	0.004353983029105939
TRBV7-6	TRBJ2-1	0.0022333211206541272
TRBV7-6	TRBJ2-3	0.0015991209007543868
TRBV7-6	TRBJ2-2	0.0012511668134446144
TRBV7-6	TRBJ2-5	0.0016981632658876532
TRBV7-6	TRBJ2-4	1.536061530343239E-4
TRBV7-6	TRBJ2-7	0.0027532992073584723
TRBV7-6	TRBJ2-6	2.3132687452094428E-4
TRBV10-1	TRBJ1-6	1.319636371388866E-4
TRBV11-3	TRBJ1-1	0.001531075788096076
TRBV11-3	TRBJ1-2	9.42027397760014E-4
TRBV5-4	TRBJ1-5	5.657186878750077E-4
TRBV5-4	TRBJ1-6	4.408770351569303E-4
TRBV5-4	TRBJ1-3	4.217574635365132E-4
TRBV5-4	TRBJ1-4	5.634936057494245E-4
TRBV5-4	TRBJ1-1	0.0017434747866444562
TRBV5-4	TRBJ1-2	0.001678673159933508
TRBV4-2	TRBJ1-1	0.0011971867757619525
TRBV4-2	TRBJ1-3	4.1453505134394076E-4
TRBV4-2	TRBJ1-2	0.0012865688169530585
TRBV4-2	TRBJ1-5	6.741953592838724E-4
TRBV4-2	TRBJ1-4	5.959408255642679E-4
TRBV18	TRBJ1-1	0.004189645120236973
TRBV4-2	TRBJ1-6	3.9279530812221436E-4
TRBV10-1	TRBJ1-1	6.997331484014406E-4
TRBV10-1	TRBJ1-5	2.7624060197739553E-4
TRBV23-1	TRBJ2-1	1.831609426622116E-4
TRBV10-1	TRBJ1-4	1.4312745311248606E-4
TRBV15	TRBJ2-1	0.0017597494933192677
TRBV23-1	TRBJ2-2	1.1223929168411765E-4
TRBV10-1	TRBJ1-3	1.2829725094822523E-4
TRBV15	TRBJ2-2	8.225332479878264E-4
TRBV10-1	TRBJ1-2	3.3987428681079933E-4
TRBV15	TRBJ2-3	0.0012805666573674965
TRBV7-3	TRBJ2-2	0.00111895155507538
TRBV15	TRBJ2-4	2.103785242127462E-4
TRBV23-1	TRBJ2-5	1.3692322402132355E-4
TRBV7-3	TRBJ2-1	0.0018998572525538088
TRBV15	TRBJ2-5	0.001253517375104806
TRBV23-1	TRBJ2-6	3.962946089871082E-5
TRBV23-1	TRBJ2-3	1.3201186454137043E-4
TRBV15	TRBJ2-6	2.7936357459865054E-4
TRBV15	TRBJ2-7	0.0023365712990640625
TRBV23-1	TRBJ2-4	4.0249685159487326E-5
TRBV7-3	TRBJ2-6	2.692053054848486E-4
TRBV5-7	TRBJ1-6	2.997762365506547E-4
TRBV7-3	TRBJ2-5	7.954032188536996E-4
TRBV7-3	TRBJ2-4	7.19700727712216E-5
TRBV23-1	TRBJ2-7	3.979529915434586E-4
TRBV7-3	TRBJ2-3	0.0014080231843978243
TRBV5-7	TRBJ1-2	0.0010659508537076852
TRBV5-7	TRBJ1-3	2.889985708774924E-4
TRBV18	TRBJ1-6	7.184560855034897E-4
TRBV5-7	TRBJ1-4	3.679303850754585E-4
TRBV7-3	TRBJ2-7	9.500957575860842E-4
TRBV5-7	TRBJ1-5	6.068140631608883E-4
TRBV18	TRBJ1-3	0.0010272006324327464
TRBV18	TRBJ1-2	0.002704434916225327
TRBV18	TRBJ1-5	0.002024880135095174
TRBV5-7	TRBJ1-1	0.0010545995357733983
TRBV18	TRBJ1-4	0.0013288838930450057
TRBV6-1	TRBJ2-1	0.003147076141769572
TRBV6-1	TRBJ2-6	4.6358523501835203E-4
TRBV6-1	TRBJ2-7	0.0052307413787722225
TRBV6-1	TRBJ2-4	3.94176189983952E-4
TRBV6-1	TRBJ2-5	0.0020087273488388875
TRBV6-1	TRBJ2-2	0.0016556263658163187
TRBV6-1	TRBJ2-3	0.002330773195467505
TRBV10-2	TRBJ2-7	9.653229989227377E-4
TRBV10-2	TRBJ2-6	6.39552744234222E-5
TRBV10-2	TRBJ2-5	3.913792765403601E-4
TRBV10-2	TRBJ2-4	6.296920613693855E-5
TRBV25-1	TRBJ2-5	8.759310253146435E-4
TRBV25-1	TRBJ2-6	1.8046241532689014E-4
TRBV25-1	TRBJ2-7	0.0015033445902270907
TRBV25-1	TRBJ2-1	0.0012689476056153026
TRBV25-1	TRBJ2-2	6.885290509589472E-4
TRBV25-1	TRBJ2-3	9.066166757966556E-4
TRBV25-1	TRBJ2-4	1.2834139502372534E-4
TRBV6-9	TRBJ1-4	1.1417787875970507E-4
TRBV6-9	TRBJ1-3	1.0073060012067362E-4
TRBV6-9	TRBJ1-6	1.0634495400296599E-4
TRBV6-9	TRBJ1-5	2.6364375895287335E-4
TRBV6-9	TRBJ1-2	2.9892855994086365E-4
TRBV6-9	TRBJ1-1	3.277922740667973E-4
TRBV24-1	TRBJ2-7	0.0017006158555423448
TRBV24-1	TRBJ2-6	2.841399635677621E-4
TRBV24-1	TRBJ2-5	0.0017965333167510522
TRBV24-1	TRBJ2-4	1.6328893527489484E-4
TRBV24-1	TRBJ2-3	0.0025692313246651103
TRBV24-1	TRBJ2-2	0.0017727060001989266
TRBV6-2	TRBJ2-2P	1.6554028312540028E-9
TRBV17	TRBJ2-1	5.032424607012168E-7
TRBV17	TRBJ2-3	1.9864833975048033E-7
TRBV17	TRBJ2-2	3.112157322757525E-7
TRBV17	TRBJ2-5	3.0459412095073653E-7
TRBV17	TRBJ2-4	9.932416987524016E-8
TRBV17	TRBJ2-7	1.0859442573026258E-6
TRBV17	TRBJ2-6	2.8693649075069383E-7
TRBV12-2	TRBJ2-2	3.9687179277427215E-5
TRBV12-2	TRBJ2-3	5.759609962725427E-5
TRBV12-2	TRBJ2-4	1.2712390142143238E-5
TRBV12-2	TRBJ2-5	5.1982959707038196E-5
TRBV12-2	TRBJ2-6	1.0853924563588745E-5
TRBV12-2	TRBJ2-7	1.3772454935183926E-4
TRBV24-1	TRBJ2-1	0.0034174675709730622
TRBV7-1	TRBJ2-4	6.358954075790377E-7
TRBV7-1	TRBJ2-3	4.826933935559177E-6
TRBV7-1	TRBJ2-2	2.2143771872741035E-6
TRBV7-1	TRBJ2-1	5.059315706337657E-6
TRBV7-1	TRBJ2-7	6.097253281533915E-6
TRBV7-1	TRBJ2-6	8.358680695945212E-7
TRBV7-1	TRBJ2-5	2.9453662908262867E-6
TRBV7-7	TRBJ1-1	5.833822775252429E-4
TRBV28	TRBJ2-7	0.008893009745694165
TRBV7-7	TRBJ1-3	2.0826799596308614E-4
TRBV7-7	TRBJ1-2	2.7499375256489486E-4
TRBV28	TRBJ2-6	7.718906127731598E-4
TRBV28	TRBJ2-5	0.0029439645324955124
TRBV28	TRBJ2-4	6.828630485083199E-4
TRBV28	TRBJ2-3	0.003212171133452267
TRBV28	TRBJ2-2	0.002240670502243855
TRBV7-7	TRBJ1-5	2.493823532014317E-4
TRBV7-7	TRBJ1-4	2.1268781116234555E-4
TRBV7-7	TRBJ1-6	1.3691362268490237E-4
TRBV11-2	TRBJ2-1	0.002277766129995603
TRBV11-2	TRBJ2-2	0.001137987473672728
TRBV5-3	TRBJ2-3	1.0692655219767994E-4
TRBV5-3	TRBJ2-4	2.08654698064467E-5
TRBV5-3	TRBJ2-1	1.4016606620092647E-4
TRBV5-3	TRBJ2-2	7.439049243089232E-5
TRBV5-3	TRBJ2-7	2.0440778049424991E-4
TRBV5-3	TRBJ2-5	9.30648894432562E-5
TRBV5-3	TRBJ2-6	2.5885644432507595E-5
TRBV11-2	TRBJ2-7	0.003196218255481223
TRBV4-3	TRBJ2-1	0.0027053270312044565
TRBV11-2	TRBJ2-3	0.001568477738945052
TRBV11-2	TRBJ2-4	2.1858545964916002E-4
TRBV11-2	TRBJ2-5	0.0014526084615391942
TRBV11-2	TRBJ2-6	2.4263290799111204E-4
TRBV4-3	TRBJ2-7	0.003375511570148577
TRBV4-3	TRBJ2-6	3.8194612904674175E-4
TRBV4-3	TRBJ2-3	0.002016645609611574
TRBV5-8	TRBJ2-1	0.00181519099419483
TRBV4-3	TRBJ2-2	0.0013670216152723805
TRBV5-8	TRBJ2-2	9.909321910824265E-4
TRBV4-3	TRBJ2-5	0.001474668782715869
TRBV5-8	TRBJ2-3	0.0015502046299723485
TRBV4-3	TRBJ2-4	2.971819995937022E-4
TRBV10-2	TRBJ2-3	4.525258841600876E-4
TRBV5-8	TRBJ2-4	1.951095299380146E-4
TRBV10-2	TRBJ2-2	3.2066962748485524E-4
TRBV5-8	TRBJ2-5	0.0014539920288321902
TRBV10-2	TRBJ2-1	6.376229859737342E-4
TRBV5-8	TRBJ2-6	2.6923096422873274E-4
TRBV5-8	TRBJ2-7	0.0024014104114524672
TRBV28	TRBJ2-1	0.004342109486758486
TRBV7-2	TRBJ1-6	7.806612680537097E-4
TRBV7-2	TRBJ1-5	0.002005779435067036
TRBV7-2	TRBJ1-4	9.192011584800376E-4
TRBV7-2	TRBJ1-3	8.581621520443393E-4
TRBV7-2	TRBJ1-2	0.002659405862371635
TRBV7-2	TRBJ1-1	0.0027414657257595378
TRBV20-1	TRBJ1-3	0.002099249438369826
TRBV20-1	TRBJ1-4	0.0031607135986038678
TRBV20-1	TRBJ1-5	0.007083891394458791
TRBV20-1	TRBJ1-6	0.0024718839264907646
TRBV20-1	TRBJ1-1	0.009709149496867128
TRBV20-1	TRBJ1-2	0.008322318117353886
TRBV7-8	TRBJ2-4	3.277203192237319E-4
TRBV7-8	TRBJ2-5	0.0021361409181657404
TRBV7-8	TRBJ2-2	0.0014656143178165867
TRBV7-8	TRBJ2-3	0.0023383814268799485
TRBV7-8	TRBJ2-6	3.317272217767822E-4
TRBV13	TRBJ2-7	0.0015675517066012423
TRBV7-8	TRBJ2-7	0.004447841720993508
TRBV13	TRBJ2-6	1.252133458337878E-4
TRBV16	TRBJ2-1	7.445472206074503E-5
TRBV16	TRBJ2-2	3.66189453097923E-5
TRBV7-8	TRBJ2-1	0.0029388461373014694
TRBV16	TRBJ2-7	1.2540415860013698E-4
TRBV16	TRBJ2-3	4.645325208951732E-5
TRBV16	TRBJ2-4	9.977664664911625E-6
TRBV16	TRBJ2-5	4.1279787161282305E-5
TRBV16	TRBJ2-6	1.2358906457576135E-5
TRBV5-2	TRBJ1-1	2.2723162863679938E-7
TRBV13	TRBJ2-5	6.452068277844635E-4
TRBV5-2	TRBJ1-2	3.010625949107282E-7
TRBV13	TRBJ2-4	1.1739708546555015E-4
TRBV13	TRBJ2-3	8.508387602790604E-4
TRBV13	TRBJ2-2	4.98834122961587E-4
TRBV10-3	TRBJ1-4	5.961852733823498E-4
TRBV13	TRBJ2-1	0.0011073262127924265
TRBV10-3	TRBJ1-5	0.0012427275698108824
TRBV10-3	TRBJ1-6	5.017924381812268E-4
TRBV5-2	TRBJ1-5	2.4190953374058486E-7
TRBV5-2	TRBJ1-6	1.3783987574908324E-7
TRBV5-2	TRBJ1-3	1.2592097536405444E-7
TRBV5-2	TRBJ1-4	1.2194800856904486E-7
TRBV11-1	TRBJ1-4	1.2177750207742579E-4
TRBV11-1	TRBJ1-3	1.3002107709650447E-4
TRBV11-1	TRBJ1-2	2.998844998958185E-4
TRBV11-1	TRBJ1-1	6.942416254092259E-4
TRBV10-3	TRBJ1-1	0.002390048204646214
TRBV10-3	TRBJ1-2	0.001963350246539918
TRBV10-3	TRBJ1-3	6.140965112961409E-4
TRBV5-5	TRBJ1-3	3.3224431444117187E-4
TRBV5-5	TRBJ1-2	0.00117365941820285
TRBV5-5	TRBJ1-1	0.0011777216663905582
TRBV7-5	TRBJ2-5	1.2380647414759937E-5
TRBV5-5	TRBJ1-6	3.409669630396154E-4
TRBV7-5	TRBJ2-6	2.755142112150412E-6
TRBV5-5	TRBJ1-5	7.091907958569604E-4
TRBV7-5	TRBJ2-7	3.6480884713665714E-5
TRBV5-5	TRBJ1-4	4.263323348009668E-4
TRBV7-5	TRBJ2-1	1.8073246670876197E-5
TRBV7-5	TRBJ2-2	9.443521351360333E-6
TRBV7-5	TRBJ2-3	1.3264191085894573E-5
TRBV7-5	TRBJ2-4	3.315882231190518E-6
TRBV1	TRBJ2-3	7.572860971948937E-5
TRBV22-1	TRBJ2-2	1.9864833975048033E-7
TRBV1	TRBJ2-4	1.425136297426571E-5
TRBV22-1	TRBJ2-3	2.3837800770057642E-7
TRBV1	TRBJ2-5	6.041834073416485E-5
TRBV1	TRBJ2-6	8.45359045827044E-6
TRBV22-1	TRBJ2-1	3.476345945633406E-7
TRBV1	TRBJ2-7	1.1426550474957255E-4
TRBV24-1	TRBJ1-6	1.3931340498927685E-4
TRBV24-1	TRBJ1-5	0.0012519656004907885
TRBV24-1	TRBJ1-4	3.938335767779773E-4
TRBV24-1	TRBJ1-3	2.36773591276525E-4
TRBV1	TRBJ2-1	9.675774368585271E-5
TRBV1	TRBJ2-2	4.309973703396296E-5
TRBV27	TRBJ2-1	0.005212066383975509
TRBV27	TRBJ2-2	0.002442990746194436
TRBV12-3	TRBJ2-6	3.867083919116937E-4
TRBV12-3	TRBJ2-5	0.0017398649048704332
TRBV12-3	TRBJ2-7	0.0033862260362203175
TRBV12-3	TRBJ2-2	0.0016420746312586344
TRBV12-3	TRBJ2-1	0.002938986846542123
TRBV29-1	TRBJ2-7	0.004211681401285872
TRBV12-3	TRBJ2-4	3.250006027321706E-4
TRBV29-1	TRBJ2-6	3.8865547672181476E-4
TRBV12-3	TRBJ2-3	0.0020786326100686358
TRBV29-1	TRBJ2-5	0.002277742696848845
TRBV24-1	TRBJ1-2	0.0016569409212046154
TRBV29-1	TRBJ2-4	3.4233068389200277E-4
