v	j	prob
TRBV7-4	TRBJ2-6	1.7805647221119447E-4
TRBV5-6	TRBJ1-6	3.0551840208788877E-4
TRBV7-4	TRBJ2-7	0.002941368055499793
TRBV5-6	TRBJ1-5	9.354726406988025E-4
TRBV5-6	TRBJ1-4	3.8023092539226267E-4
TRBV5-6	TRBJ1-3	2.7823955116692975E-4
TRBV5-6	TRBJ1-2	8.905373835042874E-4
TRBV5-6	TRBJ1-1	9.576837378391772E-4
TRBV7-4	TRBJ2-1	0.0016968748553237993
TRBV7-4	TRBJ2-2	6.956459086844198E-4
TRBV7-4	TRBJ2-3	0.0011676315971666583
TRBV7-4	TRBJ2-4	2.668857706869937E-4
TRBV7-4	TRBJ2-5	0.00116050681320387
TRBV5-1	TRBJ2-2P	3.01801713980222E-8
TRBV12-5	TRBJ2-7	0.0023892820124481674
TRBV12-5	TRBJ2-5	9.377063087174936E-4
TRBV12-5	TRBJ2-6	2.1461622883990215E-4
TRBV12-5	TRBJ2-3	9.437088094733224E-4
TRBV12-5	TRBJ2-4	2.5620953505494314E-4
TRBV12-5	TRBJ2-1	0.0013643030314285372
TRBV12-5	TRBJ2-2	6.947374855253383E-4
TRBV5-4	TRBJ2-2P	1.50900856990111E-8
TRBV7-9	TRBJ2-7	0.005094706350319187
TRBV7-9	TRBJ2-5	0.0018931381866013294
TRBV7-9	TRBJ2-6	3.5699219341578587E-4
TRBV7-9	TRBJ2-3	0.001927411376077587
TRBV7-9	TRBJ2-4	4.649179953436827E-4
TRBV7-9	TRBJ2-1	0.002856359482889184
TRBV7-9	TRBJ2-2	0.001386270339851061
TRBV14	TRBJ2-7	0.003899886778080991
TRBV14	TRBJ2-6	3.315161047330017E-4
TRBV14	TRBJ2-5	0.0015814052680535404
TRBV14	TRBJ2-4	3.8606777054064006E-4
TRBV14	TRBJ2-3	0.0015954657069050218
TRBV21-1	TRBJ2-2P	3.01801713980222E-8
TRBV14	TRBJ2-2	0.0011359122370273385
TRBV14	TRBJ2-1	0.0022744164477749096
TRBV4-1	TRBJ2-4	3.271349498517218E-4
TRBV5-1	TRBJ1-1	0.0047141709405310395
TRBV4-1	TRBJ2-5	0.0012918975307261134
TRBV4-1	TRBJ2-6	2.337157503091405E-4
TRBV5-1	TRBJ1-3	0.0014550061832129155
TRBV4-1	TRBJ2-7	0.002866066851185551
TRBV5-1	TRBJ1-2	0.00436797821844718
TRBV26	TRBJ2-2	2.2635128548516648E-7
TRBV5-1	TRBJ1-5	0.004334533055506751
TRBV4-1	TRBJ2-1	0.0019407591437150297
TRBV26	TRBJ2-3	4.295644395651826E-7
TRBV5-1	TRBJ1-4	0.0019413868074463013
TRBV4-1	TRBJ2-2	9.821613658515427E-4
TRBV4-1	TRBJ2-3	0.0013829691321029759
TRBV26	TRBJ2-1	1.0075147218373076E-6
TRBV5-1	TRBJ1-6	0.0014103289664838532
TRBV3-1	TRBJ2-5	0.0017070624236806306
TRBV3-1	TRBJ2-6	2.7503391396160344E-4
TRBV3-1	TRBJ2-7	0.0036460262663665266
TRBV3-1	TRBJ2-1	0.0024143598905361136
TRBV3-1	TRBJ2-2	0.0011692537813793016
TRBV3-1	TRBJ2-3	0.0018808815998275425
TRBV3-1	TRBJ2-4	4.2049630406579074E-4
TRBV19	TRBJ1-3	9.993308653598772E-4
TRBV19	TRBJ1-4	0.0014304254396149396
TRBV19	TRBJ1-1	0.003674368465326413
TRBV19	TRBJ1-2	0.0034157088033568077
TRBV19	TRBJ1-5	0.0034683002670321443
TRBV19	TRBJ1-6	9.914724517306888E-4
TRBV20-1	TRBJ2-2	0.004211456807537043
TRBV20-1	TRBJ2-3	0.006595725558180761
TRBV20-1	TRBJ2-4	0.0013661054583314748
TRBV20-1	TRBJ2-5	0.00562530729702019
TRBV20-1	TRBJ2-1	0.009407199664992047
TRBV20-1	TRBJ2-6	9.16959117557542E-4
TRBV20-1	TRBJ2-7	0.011967841337285809
TRBV12-4	TRBJ2-1	0.0020348654451597696
TRBV12-4	TRBJ2-3	0.0014460809005248027
TRBV12-4	TRBJ2-2	0.0010440412802774726
TRBV12-4	TRBJ2-5	0.0013620493271293873
TRBV12-4	TRBJ2-4	3.5425786988712513E-4
TRBV12-4	TRBJ2-7	0.003226054426612584
TRBV12-4	TRBJ2-6	2.735108213117167E-4
TRBV6-2	TRBJ1-1	0.0011274924722101478
TRBV12-1	TRBJ1-1	3.498359717744579E-4
TRBV12-1	TRBJ1-2	3.282068489392085E-4
TRBV12-1	TRBJ1-3	9.493323814104868E-5
TRBV6-2	TRBJ1-4	4.692267178136071E-4
TRBV6-2	TRBJ1-5	0.001075701286079716
TRBV6-2	TRBJ1-2	0.0010615845109082913
TRBV6-2	TRBJ1-3	3.333792273139726E-4
TRBV19	TRBJ2-2P	3.01801713980222E-8
TRBV6-2	TRBJ1-6	3.599659463042039E-4
TRBV6-8	TRBJ2-2	7.39836470149688E-4
TRBV6-8	TRBJ2-1	0.0014614172061221376
TRBV6-8	TRBJ2-7	0.00229659107720818
TRBV6-8	TRBJ2-4	2.6203028411190827E-4
TRBV6-8	TRBJ2-3	0.0010196753188992836
TRBV6-8	TRBJ2-6	1.9955808382228715E-4
TRBV6-8	TRBJ2-5	9.641558755954824E-4
TRBV8-2	TRBJ1-4	2.1126119978615537E-7
TRBV8-2	TRBJ1-5	1.840990455279354E-6
TRBV8-2	TRBJ1-6	5.734232565624218E-7
TRBV8-2	TRBJ1-1	1.3279275415129766E-6
TRBV8-2	TRBJ1-2	1.7353598553862764E-6
TRBV8-2	TRBJ1-3	2.7162154258219976E-7
TRBV11-3	TRBJ1-3	3.638511403688437E-4
TRBV11-3	TRBJ1-4	5.021331646945853E-4
TRBV11-3	TRBJ1-5	0.0013346139584861998
TRBV11-3	TRBJ1-6	4.080344082926921E-4
TRBV21-1	TRBJ2-6	9.80431036024723E-4
TRBV21-1	TRBJ2-5	0.00464376412167946
TRBV21-1	TRBJ2-7	0.01229695308836412
TRBV21-1	TRBJ2-2	0.0033623396972651126
TRBV9	TRBJ1-3	8.522437760287632E-4
TRBV30	TRBJ1-5	0.0024034130393671966
TRBV9	TRBJ1-2	0.002600473462504869
TRBV21-1	TRBJ2-1	0.006392785031649057
TRBV30	TRBJ1-4	0.0012987659508996378
TRBV21-1	TRBJ2-4	0.001211982868044624
TRBV9	TRBJ1-1	0.0027542414357777916
TRBV21-1	TRBJ2-3	0.004696942086685632
TRBV30	TRBJ1-6	8.381662350801555E-4
TRBV30	TRBJ1-1	0.002818858188746671
TRBV30	TRBJ1-3	7.371506863966922E-4
TRBV30	TRBJ1-2	0.002500892477968525
TRBV12-1	TRBJ1-4	1.4199770642769438E-4
TRBV12-1	TRBJ1-5	3.503927959367513E-4
TRBV12-1	TRBJ1-6	1.0463566024265616E-4
TRBV3-2	TRBJ2-2P	2.012011426534813E-8
TRBV9	TRBJ1-6	8.66569297385691E-4
TRBV9	TRBJ1-5	0.002663995178254855
TRBV9	TRBJ1-4	0.0011589558038954428
TRBV30	TRBJ2-2P	1.50900856990111E-8
TRBV2	TRBJ1-3	4.343781769031674E-4
TRBV2	TRBJ1-4	6.541476700092817E-4
TRBV2	TRBJ1-5	0.0013496663189709712
TRBV2	TRBJ1-6	4.338258797665835E-4
TRBV2	TRBJ1-1	0.0014249713796404592
TRBV2	TRBJ1-2	0.001337978041591373
TRBV7-6	TRBJ2-1	0.0016209270408373457
TRBV7-6	TRBJ2-3	0.0011055293554780947
TRBV7-6	TRBJ2-2	7.586963107577404E-4
TRBV7-6	TRBJ2-5	0.0011072881888001236
TRBV7-6	TRBJ2-4	2.7055467352327974E-4
TRBV7-6	TRBJ2-7	0.002841425244241923
TRBV7-6	TRBJ2-6	1.8094069059113225E-4
TRBV10-1	TRBJ1-6	7.669153774351349E-4
TRBV11-3	TRBJ1-1	0.0013554583968651004
TRBV11-3	TRBJ1-2	0.0012099452034723946
TRBV5-4	TRBJ1-5	9.044434004787835E-4
TRBV5-4	TRBJ1-6	3.0388565481525545E-4
TRBV5-4	TRBJ1-3	2.840864563724396E-4
TRBV5-4	TRBJ1-4	3.710465962329883E-4
TRBV5-4	TRBJ1-1	9.365485638091432E-4
TRBV5-4	TRBJ1-2	8.58351236714011E-4
TRBV4-2	TRBJ1-1	6.813591185474533E-4
TRBV4-2	TRBJ1-3	2.1229738567082025E-4
TRBV4-2	TRBJ1-2	6.518625280315967E-4
TRBV4-2	TRBJ1-5	6.55867436776114E-4
TRBV4-2	TRBJ1-4	3.0885783805308033E-4
TRBV18	TRBJ1-1	0.0017518452710095895
TRBV4-2	TRBJ1-6	2.3213833335073678E-4
TRBV10-1	TRBJ1-1	0.0022973941212687966
TRBV10-1	TRBJ1-5	0.0022841545830793414
TRBV23-1	TRBJ2-1	0.0023494589409532377
TRBV10-1	TRBJ1-4	9.449099802949637E-4
TRBV15	TRBJ2-1	0.0015047984359910858
TRBV23-1	TRBJ2-2	0.0013633027264143118
TRBV10-1	TRBJ1-3	7.107953487205126E-4
TRBV15	TRBJ2-2	7.378901005959437E-4
TRBV10-1	TRBJ1-2	0.002171796319978788
TRBV15	TRBJ2-3	9.933048911374056E-4
TRBV23-1	TRBJ2-5	0.001770395010356527
TRBV7-3	TRBJ2-2	0.0012968097727901861
TRBV15	TRBJ2-4	2.554600607985589E-4
TRBV7-3	TRBJ2-1	0.0030760900771077144
TRBV15	TRBJ2-5	9.557054276040362E-4
TRBV23-1	TRBJ2-6	4.4101228157930914E-4
TRBV23-1	TRBJ2-3	0.001672398484818579
TRBV15	TRBJ2-6	2.0718687664742237E-4
TRBV15	TRBJ2-7	0.00240250260419669
TRBV23-1	TRBJ2-4	5.054741096683446E-4
TRBV7-3	TRBJ2-6	3.6404781448578746E-4
TRBV5-7	TRBJ1-6	2.6880170856791164E-4
TRBV7-3	TRBJ2-5	0.0020440957152466116
TRBV23-1	TRBJ2-7	0.00473314672329755
TRBV7-3	TRBJ2-4	5.078860083659047E-4
TRBV7-3	TRBJ2-3	0.0022337174806389593
TRBV5-7	TRBJ1-2	7.996674024391256E-4
TRBV5-7	TRBJ1-3	2.432033901909654E-4
TRBV18	TRBJ1-6	4.89462019733124E-4
TRBV5-7	TRBJ1-4	3.374344363441539E-4
TRBV7-3	TRBJ2-7	0.004953684804768614
TRBV5-7	TRBJ1-5	8.208724938662326E-4
TRBV18	TRBJ1-3	4.2751419992154366E-4
TRBV18	TRBJ1-2	0.0015350118055776458
TRBV18	TRBJ1-5	0.0017402339530670566
TRBV5-7	TRBJ1-1	8.612258980396719E-4
TRBV18	TRBJ1-4	6.089604083835929E-4
TRBV6-1	TRBJ2-1	0.002522780982610179
TRBV6-1	TRBJ2-6	3.2985342879039876E-4
TRBV6-1	TRBJ2-7	0.004156413288769429
TRBV6-1	TRBJ2-4	4.557716429000837E-4
TRBV6-1	TRBJ2-5	0.0017024572648605288
TRBV6-1	TRBJ2-2	0.0012415810651375217
TRBV6-1	TRBJ2-3	0.001745358546170438
TRBV10-2	TRBJ2-7	9.483791909971664E-4
TRBV10-2	TRBJ2-6	8.6093465938568E-5
TRBV10-2	TRBJ2-5	3.9522745255993967E-4
TRBV10-2	TRBJ2-4	1.0498273221373344E-4
TRBV25-1	TRBJ2-5	0.0011398032156248296
TRBV25-1	TRBJ2-6	2.6353325664753014E-4
TRBV25-1	TRBJ2-7	0.002663580703900987
TRBV25-1	TRBJ2-1	0.001776255748140594
TRBV25-1	TRBJ2-2	9.160859045984261E-4
TRBV25-1	TRBJ2-3	0.0012285256259935932
TRBV25-1	TRBJ2-4	3.2521951497366085E-4
TRBV6-9	TRBJ1-4	1.698987718823092E-4
TRBV6-9	TRBJ1-3	1.274468397909946E-4
TRBV6-9	TRBJ1-6	1.4013760186386287E-4
TRBV6-9	TRBJ1-5	4.072316157335033E-4
TRBV6-9	TRBJ1-2	3.6850693480984406E-4
TRBV6-9	TRBJ1-1	3.9585645763216007E-4
TRBV5-6	TRBJ2-2P	1.50900856990111E-8
TRBV24-1	TRBJ2-7	0.007953913248545965
TRBV24-1	TRBJ2-6	7.619059719859198E-4
TRBV24-1	TRBJ2-5	0.0032011599768996942
TRBV24-1	TRBJ2-4	9.458586436825747E-4
TRBV24-1	TRBJ2-3	0.00337023583610855
TRBV24-1	TRBJ2-2	0.0023517299988509398
TRBV17	TRBJ2-1	8.445417962879877E-6
TRBV17	TRBJ2-3	4.529540723986499E-6
TRBV17	TRBJ2-2	4.5119356240043194E-6
TRBV17	TRBJ2-5	4.558211886814619E-6
TRBV17	TRBJ2-4	1.6397893126258728E-6
TRBV17	TRBJ2-7	1.3261167312290952E-5
TRBV17	TRBJ2-6	1.991891312269465E-6
TRBV12-2	TRBJ2-2	5.310714220395773E-4
TRBV12-2	TRBJ2-3	7.945418033300278E-4
TRBV12-2	TRBJ2-4	1.6885906497764744E-4
TRBV12-2	TRBJ2-5	7.301866118465984E-4
TRBV12-2	TRBJ2-6	1.3395217573583832E-4
TRBV12-2	TRBJ2-7	0.0017689186969723073
TRBV24-1	TRBJ2-1	0.004916330806629268
TRBV7-1	TRBJ2-4	3.477761750765427E-6
TRBV7-1	TRBJ2-3	1.1058014800235322E-5
TRBV7-1	TRBJ2-2	7.246259152665126E-6
TRBV7-1	TRBJ2-1	1.5093103716150888E-5
TRBV7-1	TRBJ2-7	1.873232938389577E-5
TRBV7-1	TRBJ2-6	5.1633243233449605E-6
TRBV7-1	TRBJ2-5	8.16122134888183E-6
TRBV7-7	TRBJ1-1	8.10521198079567E-4
TRBV28	TRBJ2-7	0.006581027563208507
TRBV7-7	TRBJ1-3	2.451037349833275E-4
TRBV28	TRBJ2-6	5.322899464597725E-4
TRBV7-7	TRBJ1-2	7.625774807995261E-4
TRBV28	TRBJ2-5	0.002326652791433466
TRBV28	TRBJ2-4	6.555087957393326E-4
TRBV28	TRBJ2-3	0.00256344440421092
TRBV28	TRBJ2-2	0.0016798927243795634
TRBV7-7	TRBJ1-5	8.023363355964241E-4
TRBV7-7	TRBJ1-4	3.2919675856106354E-4
TRBV7-7	TRBJ1-6	2.622018080860206E-4
TRBV11-2	TRBJ2-1	0.0017726318640599642
TRBV11-2	TRBJ2-2	8.217140176453835E-4
TRBV5-3	TRBJ2-3	8.083673398474632E-4
TRBV5-3	TRBJ2-4	1.906033754670655E-4
TRBV5-3	TRBJ2-1	0.001212345281602826
TRBV5-3	TRBJ2-2	5.676256456368634E-4
TRBV5-3	TRBJ2-7	0.001979670354864688
TRBV5-3	TRBJ2-5	8.068721638561192E-4
TRBV5-3	TRBJ2-6	1.3101966908166357E-4
TRBV11-2	TRBJ2-7	0.0030013400800905114
TRBV4-3	TRBJ2-1	0.002209877241079763
TRBV11-2	TRBJ2-3	0.0012079960674029392
TRBV11-2	TRBJ2-4	2.961617944502174E-4
TRBV11-2	TRBJ2-5	0.00112861945011043
TRBV11-2	TRBJ2-6	2.2964696020182966E-4
TRBV4-3	TRBJ2-7	0.0031345104217195365
TRBV4-3	TRBJ2-6	2.618859222920546E-4
TRBV4-3	TRBJ2-3	0.0015939778244551015
TRBV4-3	TRBJ2-2	0.0011142403589492764
TRBV5-8	TRBJ2-1	0.0011860646398508565
TRBV4-3	TRBJ2-5	0.0014493560359581578
TRBV5-8	TRBJ2-2	5.80073960332835E-4
TRBV5-8	TRBJ2-3	8.893170985740979E-4
TRBV4-3	TRBJ2-4	3.634411930406859E-4
TRBV6-5	TRBJ2-2P	2.012011426534813E-8
TRBV10-2	TRBJ2-3	4.46719854993532E-4
TRBV5-8	TRBJ2-4	2.139160488634675E-4
TRBV10-2	TRBJ2-2	3.113617862734024E-4
TRBV5-8	TRBJ2-5	8.048375173010374E-4
TRBV10-2	TRBJ2-1	6.316282321177911E-4
TRBV5-8	TRBJ2-6	1.5538713946842625E-4
TRBV5-8	TRBJ2-7	0.0019468391069107703
TRBV6-8	TRBJ2-2P	2.012011426534813E-8
TRBV28	TRBJ2-1	0.0033002002333651546
TRBV7-2	TRBJ1-6	3.7013314304534155E-4
TRBV7-2	TRBJ1-5	0.0011235031565541844
TRBV7-2	TRBJ1-4	4.462430082854438E-4
TRBV7-2	TRBJ1-3	3.432898925982266E-4
TRBV7-2	TRBJ1-2	0.0010368397883790512
TRBV7-2	TRBJ1-1	0.001086367461654633
TRBV20-1	TRBJ1-3	0.001604498632204452
TRBV20-1	TRBJ1-4	0.0022127196263887934
TRBV20-1	TRBJ1-5	0.005117395132505741
TRBV20-1	TRBJ1-6	0.0015171119459214788
TRBV20-1	TRBJ1-1	0.005721737974665436
TRBV20-1	TRBJ1-2	0.005103688304662473
TRBV7-8	TRBJ2-4	2.8900054278032246E-4
TRBV7-8	TRBJ2-5	0.0011888018975628504
TRBV7-8	TRBJ2-2	7.837383079752504E-4
TRBV7-8	TRBJ2-3	0.0013234895473088946
TRBV13	TRBJ2-7	0.001037955448715062
TRBV7-8	TRBJ2-6	1.8364231893411162E-4
TRBV13	TRBJ2-6	7.232175072679372E-5
TRBV7-8	TRBJ2-7	0.0028525665898487306
TRBV16	TRBJ2-1	4.929679496438609E-5
TRBV16	TRBJ2-2	2.7905592480324596E-5
TRBV7-8	TRBJ2-1	0.0016732115051025106
TRBV16	TRBJ2-7	9.762631543546554E-5
TRBV16	TRBJ2-3	3.360008782027476E-5
TRBV5-5	TRBJ2-2P	1.50900856990111E-8
TRBV16	TRBJ2-4	9.491160901821346E-6
TRBV16	TRBJ2-5	3.544359328983727E-5
TRBV16	TRBJ2-6	9.033931305141308E-6
TRBV13	TRBJ2-5	3.444171219999432E-4
TRBV5-2	TRBJ1-1	2.770036731481805E-6
TRBV5-2	TRBJ1-2	3.124150742551932E-6
TRBV13	TRBJ2-4	1.0532477415624426E-4
TRBV13	TRBJ2-3	4.0415022023376605E-4
TRBV13	TRBJ2-2	2.3987401428290675E-4
TRBV10-3	TRBJ1-4	6.049072113648391E-4
TRBV13	TRBJ2-1	5.938562386045969E-4
TRBV10-3	TRBJ1-5	0.001421836162835061
TRBV10-3	TRBJ1-6	4.4684912672768675E-4
TRBV5-2	TRBJ1-5	4.752873992331865E-6
TRBV5-2	TRBJ1-6	2.219751606324535E-6
TRBV5-2	TRBJ1-3	1.552266815571608E-6
TRBV5-2	TRBJ1-4	1.5080025641878422E-6
TRBV11-1	TRBJ1-4	3.774960988607459E-4
TRBV11-1	TRBJ1-3	2.805241901417598E-4
TRBV11-1	TRBJ1-2	8.515843392837178E-4
TRBV11-1	TRBJ1-1	9.525973729528982E-4
TRBV10-3	TRBJ1-1	0.0014807624444868423
TRBV10-3	TRBJ1-2	0.0013975697960224827
TRBV10-3	TRBJ1-3	4.273522330017078E-4
TRBV5-5	TRBJ1-3	2.841674398323583E-4
TRBV5-5	TRBJ1-2	8.862809733314547E-4
TRBV5-5	TRBJ1-1	9.580982121930451E-4
TRBV7-5	TRBJ2-5	2.2609123300828683E-4
TRBV5-5	TRBJ1-6	3.1802053808952034E-4
TRBV7-5	TRBJ2-6	4.288199953373647E-5
TRBV5-5	TRBJ1-5	9.689545228477695E-4
TRBV7-5	TRBJ2-7	5.948652623350036E-4
TRBV5-5	TRBJ1-4	3.87513400750606E-4
TRBV7-5	TRBJ2-1	3.182876326063917E-4
TRBV7-5	TRBJ2-2	1.5847356499673138E-4
TRBV7-5	TRBJ2-3	2.3214990241643974E-4
TRBV7-5	TRBJ2-4	5.4666350458950876E-5
TRBV1	TRBJ2-3	0.0010359097360971368
TRBV22-1	TRBJ2-2	2.640764997326942E-6
TRBV1	TRBJ2-4	1.9787629377113252E-4
TRBV22-1	TRBJ2-3	2.2031525120556205E-6
TRBV1	TRBJ2-5	8.744173994563183E-4
TRBV1	TRBJ2-6	1.058368310642975E-4
TRBV22-1	TRBJ2-1	4.8891877664795956E-6
TRBV1	TRBJ2-7	0.0015010007644235012
TRBV24-1	TRBJ1-6	0.0013835782685623595
TRBV24-1	TRBJ1-5	0.004296517105608085
TRBV24-1	TRBJ1-4	0.001853295917164041
TRBV24-1	TRBJ1-3	0.0013698176194134315
TRBV1	TRBJ2-1	0.0013742402720303838
TRBV1	TRBJ2-2	5.800462951757176E-4
TRBV27	TRBJ2-1	0.005271380654514174
TRBV27	TRBJ2-2	0.0027003361286409245
TRBV12-3	TRBJ2-6	2.7279856926672326E-4
TRBV12-3	TRBJ2-5	0.0013609668649819122
TRBV12-3	TRBJ2-7	0.0032238210939291327
TRBV12-3	TRBJ2-2	0.0010427299518302297
TRBV12-3	TRBJ2-1	0.0020324168272536783
TRBV29-1	TRBJ2-7	0.004009335169655922
