v	j	prob
TRBV11-1	TRBJ2-7	0.0019418971876781603
TRBV11-1	TRBJ2-6	1.8406735634796716E-4
TRBV11-1	TRBJ2-5	7.14660255003269E-4
TRBV11-1	TRBJ2-4	2.0536298828926832E-4
TRBV4-2	TRBJ2-2P	7.54504284950555E-9
TRBV27	TRBJ1-6	0.001445284143999898
TRBV27	TRBJ1-4	0.001976162412942528
TRBV27	TRBJ1-5	0.004529564868123622
TRBV5-5	TRBJ2-2	5.206723409815328E-4
TRBV5-5	TRBJ2-1	0.0010055108422902857
TRBV5-5	TRBJ2-6	1.6621712630698798E-4
TRBV7-5	TRBJ1-6	9.881239617140783E-5
TRBV5-5	TRBJ2-5	6.751914651870295E-4
TRBV5-5	TRBJ2-4	1.9593168472738638E-4
TRBV5-5	TRBJ2-3	7.035314844678673E-4
TRBV7-5	TRBJ1-2	2.784226442067442E-4
TRBV7-5	TRBJ1-3	8.975281172057821E-5
TRBV7-5	TRBJ1-4	1.2048628626089748E-4
TRBV5-5	TRBJ2-7	0.001702434210562931
TRBV7-5	TRBJ1-5	2.983143951751806E-4
TRBV7-5	TRBJ1-1	2.855672967823692E-4
TRBV1	TRBJ1-4	2.351764706048048E-4
TRBV22-1	TRBJ1-3	1.7806301124833097E-6
TRBV1	TRBJ1-5	5.275151918431768E-4
TRBV22-1	TRBJ1-4	2.414413711841776E-6
TRBV1	TRBJ1-6	1.745344462090455E-4
TRBV22-1	TRBJ1-1	6.941439421545105E-6
TRBV22-1	TRBJ1-2	5.824773079818284E-6
TRBV1	TRBJ1-1	5.800840203899652E-4
TRBV1	TRBJ1-2	5.420796395570058E-4
TRBV1	TRBJ1-3	1.7050036329884318E-4
TRBV7-8	TRBJ1-5	0.0010372029564415413
TRBV7-8	TRBJ1-6	3.4189556867963815E-4
TRBV7-8	TRBJ1-3	3.189183981886103E-4
TRBV7-8	TRBJ1-4	4.174782869259882E-4
TRBV16	TRBJ1-1	5.402854283673934E-5
TRBV16	TRBJ1-2	5.046275558606302E-5
TRBV16	TRBJ1-3	1.3986497431556752E-5
TRBV7-8	TRBJ1-1	0.0010313776803588669
TRBV7-8	TRBJ1-2	9.897763260981204E-4
TRBV16	TRBJ1-4	2.206321430052413E-5
TRBV16	TRBJ1-5	5.503555455572003E-5
TRBV16	TRBJ1-6	1.542709761295568E-5
TRBV10-3	TRBJ2-7	0.002974003132339625
TRBV13	TRBJ1-6	1.476861657333648E-4
TRBV5-2	TRBJ2-1	7.2331810783926555E-6
TRBV13	TRBJ1-5	4.2206265496134835E-4
TRBV13	TRBJ1-4	1.6856380230080337E-4
TRBV13	TRBJ1-3	1.3393457063585605E-4
TRBV10-3	TRBJ2-3	0.00130734214960524
TRBV13	TRBJ1-2	4.2648857709686795E-4
TRBV10-3	TRBJ2-4	2.9897282591451446E-4
TRBV13	TRBJ1-1	4.4155753667590074E-4
TRBV10-3	TRBJ2-5	0.0011994513063758793
TRBV10-3	TRBJ2-6	2.295903723804591E-4
TRBV5-2	TRBJ2-6	3.2715305795456087E-6
TRBV5-2	TRBJ2-7	7.127047475642941E-6
TRBV5-2	TRBJ2-4	1.8213733438706402E-6
TRBV5-2	TRBJ2-5	3.047191305486976E-6
TRBV5-2	TRBJ2-2	4.189007790045483E-6
TRBV5-2	TRBJ2-3	5.706064405652727E-6
TRBV11-1	TRBJ2-3	7.72122966009865E-4
TRBV11-1	TRBJ2-2	5.705928594881448E-4
TRBV11-1	TRBJ2-1	0.0011925205138481351
TRBV22-1	TRBJ1-5	6.684907964661916E-6
TRBV22-1	TRBJ1-6	1.8711706266773762E-6
TRBV6-4	TRBJ1-3	9.102918146928632E-4
TRBV6-4	TRBJ1-2	0.0027076266520449726
TRBV6-4	TRBJ1-1	0.0029444997512852026
TRBV6-4	TRBJ1-6	9.121644943281097E-4
TRBV6-4	TRBJ1-5	0.0029499849974367926
TRBV6-4	TRBJ1-4	0.0011894412980274402
TRBV12-3	TRBJ1-1	0.0015521204417403263
TRBV3-2	TRBJ1-5	0.0016094753424679834
TRBV3-2	TRBJ1-6	5.146232286276555E-4
TRBV12-2	TRBJ2-1	0.0011778450701706088
TRBV3-2	TRBJ1-1	0.0016894351915727615
TRBV3-2	TRBJ1-2	0.0015154243713374703
TRBV10-3	TRBJ2-1	0.0018357393569575235
TRBV3-2	TRBJ1-3	5.100172314694608E-4
TRBV3-2	TRBJ1-4	6.892939886108491E-4
TRBV10-3	TRBJ2-2	9.038689712165071E-4
TRBV6-3	TRBJ2-7	0.0029025981043190496
TRBV6-3	TRBJ2-6	2.2961124699900944E-4
TRBV6-3	TRBJ2-5	0.0012673531710014306
TRBV6-3	TRBJ2-4	3.316260108571762E-4
TRBV6-3	TRBJ2-3	0.0013268596664483432
TRBV6-3	TRBJ2-2	9.10060936381668E-4
TRBV6-3	TRBJ2-1	0.001873919537288875
TRBV6-7	TRBJ1-1	6.201195267580117E-4
TRBV6-7	TRBJ1-2	5.882915180016577E-4
TRBV6-7	TRBJ1-3	1.9481753339994288E-4
TRBV6-7	TRBJ1-4	2.59457424500227E-4
TRBV6-7	TRBJ1-5	6.095806109058226E-4
TRBV6-7	TRBJ1-6	2.0456572876150408E-4
TRBV6-6	TRBJ2-5	0.001386627304211649
TRBV6-6	TRBJ2-6	3.3558640384888177E-4
TRBV6-6	TRBJ2-7	0.003260373808517844
TRBV6-1	TRBJ1-1	0.002108320880491608
TRBV6-6	TRBJ2-1	0.002187291658312622
TRBV6-1	TRBJ1-2	0.0019962422869793427
TRBV6-6	TRBJ2-2	0.0011101942039705153
TRBV6-6	TRBJ2-3	0.0015441206843084228
TRBV6-6	TRBJ2-4	4.088968066903891E-4
TRBV6-1	TRBJ1-5	0.0020007376235090784
TRBV6-1	TRBJ1-6	6.728724543503287E-4
TRBV6-1	TRBJ1-3	6.175361040863415E-4
TRBV6-1	TRBJ1-4	8.723354706327127E-4
TRBV27	TRBJ1-2	0.004455151128516091
TRBV27	TRBJ1-3	0.001486205941401333
TRBV27	TRBJ1-1	0.004726342100653015
TRBV6-9	TRBJ2-3	3.5714057925849234E-4
TRBV6-9	TRBJ2-2	2.6787542880742045E-4
TRBV12-3	TRBJ1-6	4.861527639393314E-4
TRBV6-9	TRBJ2-5	3.186788011612337E-4
TRBV6-9	TRBJ2-4	9.964486589913662E-5
TRBV6-9	TRBJ2-7	7.68162908353396E-4
TRBV12-3	TRBJ1-3	4.5517784802782794E-4
TRBV6-9	TRBJ2-6	9.364202980806988E-5
TRBV12-3	TRBJ1-2	0.0014305964605861937
TRBV12-3	TRBJ1-5	0.0014676642501001021
TRBV12-3	TRBJ1-4	6.282058006812554E-4
TRBV29-1	TRBJ1-6	5.76441273702224E-4
TRBV29-1	TRBJ1-5	0.001698117523881117
TRBV29-1	TRBJ1-4	8.475950236277544E-4
TRBV29-1	TRBJ1-3	5.264176396100022E-4
TRBV29-1	TRBJ1-2	0.0018457891025316395
TRBV29-1	TRBJ1-1	0.002059977778943403
TRBV6-9	TRBJ2-1	5.26924750323299E-4
TRBV26	TRBJ2-6	2.3148191462283025E-6
TRBV26	TRBJ2-7	9.154651990733401E-7
TRBV26	TRBJ2-4	2.1226720549942278E-7
TRBV26	TRBJ2-5	2.7162154258219976E-7
