v	prob
TRBV18	0.01456100667128666
TRBV17	6.561823165643651E-5
TRBV11-1	0.009352804936075758
TRBV11-2	0.013957034039229627
TRBV19	0.03207706257277063
TRBV4-1	0.01327380274404961
TRBV4-2	0.009539024138644447
TRBV6-3	0.014215104684853958
TRBV6-4	0.02780626853024782
TRBV8-2	1.4320491328361533E-5
TRBV6-1	0.020422261039287938
TRBV4-3	0.01457934967645954
TRBV6-2	0.011752795041003516
TRBV14	0.018446148423628173
TRBV6-7	0.006119105704380371
TRBV11-3	0.01297558945244881
TRBV6-8	0.0116510295150608
TRBV13	0.004538192876123535
TRBV6-5	0.02123123751559475
TRBV16	4.734011385208104E-4
TRBV6-6	0.016823855059364637
TRBV15	0.011348981832683664
TRBV6-9	0.0040411475853237245
TRBV20-1	0.061367761947338936
TRBV22-1	5.294105066069726E-5
TRBV24-1	0.04130937518655114
TRBV10-1	0.023698345806697545
TRBV10-2	0.004615642740973645
TRBV12-1	0.0038290911380212153
TRBV10-3	0.014528245089228406
TRBV3-2	0.018038797596217584
TRBV5-1	0.04517857526935751
TRBV3-1	0.01804170193471178
TRBV7-2	0.013426774966803374
TRBV5-4	0.008866778425853438
TRBV5-5	0.008772539331654547
TRBV7-3	0.02301717581722406
TRBV5-2	4.832247843108683E-5
TRBV5-3	0.00998939629737993
TRBV7-1	1.016307211771263E-4
TRBV5-8	0.009776709084495308
TRBV7-6	0.013650164571468644
TRBV12-2	0.008480397787535895
TRBV12-3	0.015750392135997063
TRBV7-7	0.008016351496142776
TRBV12-4	0.015765140682756435
TRBV5-6	0.008485906674821787
TRBV7-4	0.013307142779393051
TRBV5-7	0.007597011092641551
TRBV7-5	0.0027987717756727155
TRBV12-5	0.011044084136120864
TRBV7-8	0.012431099926205532
TRBV7-9	0.024752739891770174
TRBV30	0.02245695336763129
TRBV1	0.007899217723921334
TRBV21-1	0.05661301175435156
TRBV28	0.027855020573118543
TRBV9	0.02964423342334466
TRBV23-1	0.02279161223421251
TRBV2	0.016493777039798627
TRBV29-1	0.019572153013388507
TRBV25-1	0.014133437141050899
TRBV27	0.046528655056676374
TRBV26	7.77893917784022E-6
