v	j	clonotypes
TRBV15	TRBJ2-7	3429
TRBV21-1	TRBJ2-2	3402
TRBV9	TRBJ1-2	3363
TRBV7-3	TRBJ1-5	3343
TRBV7-9	TRBJ1-2	3335
TRBV6-6	TRBJ2-1	3326
TRBV10-3	TRBJ2-3	3307
TRBV7-9	TRBJ2-5	3282
TRBV4-2	TRBJ2-7	3255
TRBV12-4	TRBJ1-2	3250
TRBV29-1	TRBJ2-3	3246
TRBV7-2	TRBJ2-4	3191
TRBV20-1	TRBJ1-1	3178
TRBV4-1	TRBJ2-1	3142
TRBV20-1	TRBJ1-5	3140
TRBV25-1	TRBJ2-1	2970
TRBV7-9	TRBJ2-3	2943
TRBV29-1	TRBJ1-2	2909
TRBV15	TRBJ2-1	2873
TRBV28	TRBJ2-1	2872
TRBV11-2	TRBJ1-2	2838
TRBV10-1	TRBJ2-7	2785
TRBV10-3	TRBJ1-2	2779
TRBV4-3	TRBJ2-3	2711
TRBV4-3	TRBJ2-5	2684
TRBV20-1	TRBJ2-4	2676
TRBV7-4	TRBJ2-1	2653
TRBV4-2	TRBJ2-1	2651
TRBV5-5	TRBJ2-7	2618
TRBV23-1	TRBJ2-1	2614
TRBV6-4	TRBJ2-3	2580
TRBV6-4	TRBJ2-5	2501
TRBV5-1	TRBJ2-4	2484
TRBV3-1	TRBJ1-2	2450
TRBV7-9	TRBJ1-1	2329
TRBV7-6	TRBJ2-7	2325
TRBV6-6	TRBJ2-3	2322
TRBV5-6	TRBJ2-7	2305
TRBV7-3	TRBJ2-4	2286
TRBV7-8	TRBJ2-1	2276
TRBV7-8	TRBJ2-7	2268
TRBV2	TRBJ2-7	2238
TRBV5-5	TRBJ2-1	2236
TRBV7-2	TRBJ1-1	2236
TRBV6-5	TRBJ1-1	2226
TRBV6-6	TRBJ2-5	2196
TRBV28	TRBJ2-5	2159
TRBV23-1	TRBJ2-5	2156
TRBV7-2	TRBJ1-5	2124
TRBV9	TRBJ1-1	2121
TRBV2	TRBJ2-1	2112
TRBV4-1	TRBJ2-5	2102
TRBV4-1	TRBJ2-3	2087
TRBV20-1	TRBJ1-4	2078
TRBV14	TRBJ2-5	2020
TRBV11-3	TRBJ2-7	2015
TRBV7-9	TRBJ1-5	2011
TRBV11-3	TRBJ2-1	2010
TRBV25-1	TRBJ2-5	2008
TRBV29-1	TRBJ1-1	2005
TRBV28	TRBJ2-3	2002
TRBV9	TRBJ2-4	1977
TRBV9	TRBJ1-5	1970
TRBV6-3	TRBJ2-5	1962
TRBV27	TRBJ1-5	1933
TRBV6-4	TRBJ1-2	1930
TRBV27	TRBJ1-1	1904
TRBV25-1	TRBJ1-2	1893
TRBV18	TRBJ2-7	1889
TRBV5-6	TRBJ2-1	1868
TRBV4-2	TRBJ2-3	1854
TRBV5-1	TRBJ1-4	1849
TRBV14	TRBJ2-3	1841
TRBV25-1	TRBJ2-3	1838
TRBV7-6	TRBJ2-1	1818
TRBV6-5	TRBJ1-5	1809
TRBV7-3	TRBJ1-4	1798
TRBV23-1	TRBJ2-3	1794
TRBV11-2	TRBJ2-4	1793
TRBV24-1	TRBJ2-5	1787
TRBV11-2	TRBJ1-1	1764
TRBV14	TRBJ1-2	1755
TRBV24-1	TRBJ2-3	1728
TRBV4-2	TRBJ2-5	1728
TRBV11-2	TRBJ1-5	1702
TRBV6-1	TRBJ2-7	1676
TRBV7-4	TRBJ2-5	1674
TRBV12-4	TRBJ1-5	1672
TRBV10-1	TRBJ2-1	1663
TRBV7-3	TRBJ1-6	1652
TRBV15	TRBJ2-5	1633
TRBV29-1	TRBJ1-5	1623
TRBV15	TRBJ2-3	1616
TRBV20-1	TRBJ1-6	1605
TRBV27	TRBJ2-4	1559
TRBV24-1	TRBJ1-2	1553
TRBV12-4	TRBJ1-1	1548
TRBV6-4	TRBJ1-1	1538
TRBV12-4	TRBJ2-4	1525
TRBV7-8	TRBJ2-3	1521
TRBV7-4	TRBJ2-3	1482
TRBV5-5	TRBJ2-5	1459
TRBV6-6	TRBJ1-2	1456
TRBV7-4	TRBJ1-2	1453
TRBV7-2	TRBJ1-4	1438
TRBV10-3	TRBJ1-5	1434
TRBV3-1	TRBJ2-4	1395
TRBV6-3	TRBJ2-3	1390
TRBV5-1	TRBJ1-6	1383
TRBV3-1	TRBJ1-1	1363
TRBV10-3	TRBJ1-1	1354
TRBV5-5	TRBJ1-2	1347
TRBV19	TRBJ2-7	1342
TRBV13	TRBJ2-7	1339
TRBV30	TRBJ2-7	1338
TRBV6-4	TRBJ1-5	1334
TRBV3-1	TRBJ1-5	1328
TRBV6-5	TRBJ2-4	1327
TRBV7-8	TRBJ2-5	1319
TRBV4-1	TRBJ1-2	1304
TRBV12-5	TRBJ2-7	1293
TRBV10-1	TRBJ2-5	1286
TRBV20-1	TRBJ2-6	1279
TRBV6-1	TRBJ2-1	1247
TRBV29-1	TRBJ2-4	1243
TRBV5-1	TRBJ2-6	1237
TRBV15	TRBJ1-2	1217
TRBV7-9	TRBJ1-4	1217
TRBV5-5	TRBJ2-3	1212
TRBV10-1	TRBJ2-3	1209
TRBV29-1	TRBJ1-4	1208
TRBV27	TRBJ1-4	1198
TRBV7-7	TRBJ2-1	1196
TRBV2	TRBJ2-5	1191
TRBV7-7	TRBJ2-7	1189
TRBV7-9	TRBJ2-4	1181
TRBV7-3	TRBJ2-6	1173
TRBV7-2	TRBJ1-6	1166
TRBV23-1	TRBJ1-2	1164
TRBV18	TRBJ2-1	1156
TRBV6-5	TRBJ1-4	1154
TRBV10-2	TRBJ2-7	1149
TRBV5-6	TRBJ2-5	1140
TRBV9	TRBJ1-4	1136
TRBV27	TRBJ1-6	1133
TRBV28	TRBJ1-2	1133
TRBV2	TRBJ2-3	1119
TRBV7-2	TRBJ2-6	1116
TRBV14	TRBJ1-1	1114
TRBV7-3	TRBJ2-2	1110
TRBV4-3	TRBJ1-2	1099
TRBV20-1	TRBJ2-2	1090
TRBV7-6	TRBJ2-5	1087
TRBV7-2	TRBJ2-2	1083
TRBV10-3	TRBJ2-4	1078
TRBV11-3	TRBJ2-5	1069
TRBV7-6	TRBJ2-3	1067
TRBV6-3	TRBJ1-2	1057
TRBV25-1	TRBJ1-5	1053
TRBV5-1	TRBJ2-2	1045
TRBV6-6	TRBJ1-5	1045
TRBV30	TRBJ2-1	1033
TRBV11-2	TRBJ1-4	1026
TRBV14	TRBJ1-5	1026
TRBV9	TRBJ1-6	1023
TRBV25-1	TRBJ1-1	1021
TRBV23-1	TRBJ1-5	1017
TRBV7-4	TRBJ1-1	1012
TRBV12-5	TRBJ2-1	987
TRBV12-4	TRBJ1-4	980
TRBV5-6	TRBJ2-3	971
TRBV19	TRBJ2-1	965
TRBV24-1	TRBJ1-5	964
TRBV6-5	TRBJ1-6	963
TRBV7-9	TRBJ1-6	963
TRBV4-2	TRBJ1-2	957
TRBV5-5	TRBJ1-1	946
TRBV24-1	TRBJ1-1	937
TRBV11-3	TRBJ2-3	918
TRBV6-4	TRBJ2-4	912
TRBV6-6	TRBJ2-4	904
TRBV11-1	TRBJ2-7	896
TRBV11-1	TRBJ2-1	883
TRBV5-6	TRBJ1-2	883
TRBV7-8	TRBJ1-2	883
TRBV10-3	TRBJ1-4	882
TRBV5-4	TRBJ2-7	882
TRBV6-1	TRBJ2-5	881
TRBV7-4	TRBJ1-5	879
TRBV27	TRBJ2-6	875
TRBV4-3	TRBJ2-4	870
TRBV11-2	TRBJ2-2	857
TRBV29-1	TRBJ2-6	845
TRBV5-5	TRBJ1-5	842
TRBV11-2	TRBJ2-6	833
TRBV9	TRBJ2-2	832
TRBV10-2	TRBJ2-1	831
TRBV28	TRBJ2-4	831
TRBV11-2	TRBJ1-6	820
TRBV9	TRBJ2-6	818
TRBV6-1	TRBJ1-2	799
TRBV7-6	TRBJ1-2	797
TRBV23-1	TRBJ2-4	796
TRBV29-1	TRBJ1-6	788
TRBV14	TRBJ2-4	779
TRBV12-4	TRBJ1-6	778
TRBV10-1	TRBJ1-2	777
TRBV12-4	TRBJ2-6	777
TRBV3-1	TRBJ1-4	768
TRBV13	TRBJ2-1	764
TRBV21-1	TRBJ1-3	758
TRBV28	TRBJ1-5	756
TRBV10-3	TRBJ1-6	754
TRBV18	TRBJ2-5	752
TRBV6-3	TRBJ1-5	750
TRBV6-6	TRBJ1-1	750
TRBV5-4	TRBJ2-1	731
TRBV24-1	TRBJ2-4	730
TRBV12-4	TRBJ2-2	726
TRBV30	TRBJ1-2	724
TRBV6-3	TRBJ1-1	723
TRBV28	TRBJ1-1	720
TRBV2	TRBJ1-2	719
TRBV6-3	TRBJ2-4	716
TRBV25-1	TRBJ2-4	700
TRBV11-3	TRBJ1-2	698
TRBV23-1	TRBJ1-1	697
TRBV7-6	TRBJ1-1	687
TRBV6-1	TRBJ2-3	685
TRBV7-9	TRBJ2-6	683
TRBV23-1	TRBJ1-4	677
TRBV15	TRBJ1-5	673
TRBV15	TRBJ2-4	670
TRBV15	TRBJ1-1	666
TRBV4-1	TRBJ1-5	664
TRBV10-2	TRBJ2-5	659
TRBV18	TRBJ1-2	659
TRBV4-1	TRBJ2-4	658
TRBV5-6	TRBJ1-1	653
TRBV4-1	TRBJ1-1	651
TRBV3-1	TRBJ2-6	649
TRBV6-6	TRBJ1-4	646
TRBV25-1	TRBJ1-4	645
TRBV29-1	TRBJ2-2	633
TRBV4-3	TRBJ1-1	632
TRBV14	TRBJ1-4	631
TRBV27	TRBJ2-2	628
TRBV6-7	TRBJ2-7	628
TRBV6-4	TRBJ1-4	627
TRBV12-5	TRBJ2-5	625
TRBV7-7	TRBJ2-5	616
TRBV10-3	TRBJ2-6	612
TRBV7-7	TRBJ2-3	609
TRBV6-6	TRBJ2-6	608
TRBV6-5	TRBJ2-2	604
TRBV7-4	TRBJ2-4	603
TRBV3-1	TRBJ1-6	591
TRBV28	TRBJ1-4	589
TRBV18	TRBJ2-3	582
TRBV6-7	TRBJ2-1	581
TRBV4-3	TRBJ1-5	573
TRBV7-8	TRBJ1-1	571
TRBV4-2	TRBJ2-4	560
TRBV6-4	TRBJ1-6	553
TRBV19	TRBJ2-5	547
TRBV30	TRBJ2-3	543
TRBV5-6	TRBJ1-5	537
TRBV12-5	TRBJ2-3	531
TRBV4-3	TRBJ1-4	531
TRBV4-3	TRBJ2-6	527
TRBV10-2	TRBJ2-3	525
TRBV7-6	TRBJ1-5	523
TRBV19	TRBJ2-3	522
TRBV6-6	TRBJ1-6	522
TRBV5-5	TRBJ2-4	518
TRBV7-8	TRBJ1-5	517
TRBV16	TRBJ2-7	516
TRBV7-4	TRBJ1-4	514
TRBV30	TRBJ2-5	510
TRBV5-5	TRBJ1-4	506
TRBV4-2	TRBJ1-5	505
TRBV14	TRBJ1-6	503
TRBV3-1	TRBJ2-2	502
TRBV4-1	TRBJ1-4	502
TRBV7-4	TRBJ1-6	493
TRBV19	TRBJ1-2	491
TRBV25-1	TRBJ1-6	488
TRBV23-1	TRBJ1-6	487
TRBV5-4	TRBJ2-5	480
TRBV11-3	TRBJ2-4	476
TRBV13	TRBJ2-3	466
TRBV6-4	TRBJ2-2	465
TRBV7-9	TRBJ2-2	462
TRBV10-1	TRBJ2-4	459
TRBV7-8	TRBJ2-4	459
TRBV10-1	TRBJ1-5	458
TRBV6-4	TRBJ2-6	458
TRBV5-4	TRBJ2-3	457
TRBV11-3	TRBJ1-1	456
TRBV15	TRBJ1-4	456
TRBV30	TRBJ1-1	453
TRBV10-3	TRBJ2-2	445
TRBV4-2	TRBJ1-1	442
TRBV6-5	TRBJ2-6	442
TRBV14	TRBJ2-6	438
TRBV24-1	TRBJ2-6	436
TRBV28	TRBJ1-6	433
TRBV13	TRBJ2-5	427
TRBV28	TRBJ2-6	427
TRBV4-3	TRBJ2-2	425
TRBV6-1	TRBJ1-5	424
TRBV6-3	TRBJ2-6	423
TRBV5-6	TRBJ2-4	422
TRBV24-1	TRBJ1-4	416
TRBV7-7	TRBJ1-2	414
TRBV18	TRBJ1-1	406
TRBV5-5	TRBJ1-6	403
TRBV10-1	TRBJ1-1	401
TRBV7-8	TRBJ1-4	400
TRBV2	TRBJ2-4	399
TRBV6-1	TRBJ1-1	399
TRBV25-1	TRBJ2-6	398
TRBV11-1	TRBJ2-5	397
TRBV23-1	TRBJ2-2	390
TRBV6-6	TRBJ2-2	389
TRBV11-3	TRBJ1-5	388
TRBV2	TRBJ1-5	386
TRBV23-1	TRBJ2-6	385
TRBV4-1	TRBJ2-6	376
TRBV7-6	TRBJ2-4	374
TRBV12-5	TRBJ1-2	367
TRBV15	TRBJ2-6	364
TRBV18	TRBJ1-5	364
TRBV4-2	TRBJ1-4	364
TRBV10-2	TRBJ1-2	359
TRBV7-6	TRBJ1-4	358
TRBV4-1	TRBJ1-6	347
TRBV11-1	TRBJ2-3	339
TRBV30	TRBJ1-5	337
TRBV2	TRBJ1-1	335
TRBV4-3	TRBJ1-6	327
TRBV6-7	TRBJ2-5	327
TRBV7-3	TRBJ1-3	326
TRBV4-1	TRBJ2-2	324
TRBV28	TRBJ2-2	322
TRBV6-7	TRBJ2-3	321
TRBV13	TRBJ1-2	319
TRBV7-4	TRBJ2-6	317
TRBV15	TRBJ1-6	313
TRBV19	TRBJ1-5	313
TRBV6-7	TRBJ1-2	304
TRBV14	TRBJ2-2	302
TRBV19	TRBJ1-1	301
TRBV5-6	TRBJ1-4	300
TRBV5-5	TRBJ2-6	298
TRBV4-2	TRBJ2-6	293
TRBV5-4	TRBJ1-2	293
TRBV7-6	TRBJ1-6	291
TRBV16	TRBJ2-1	284
TRBV6-1	TRBJ2-4	284
TRBV5-6	TRBJ1-6	272
TRBV7-8	TRBJ1-6	270
TRBV10-1	TRBJ2-6	268
TRBV24-1	TRBJ2-2	268
TRBV5-8	TRBJ2-7	264
TRBV6-3	TRBJ1-6	264
TRBV2	TRBJ1-4	261
TRBV7-7	TRBJ1-5	260
TRBV24-1	TRBJ1-6	259
TRBV20-1	TRBJ1-3	258
TRBV7-7	TRBJ1-1	258
TRBV4-2	TRBJ1-6	257
TRBV7-8	TRBJ2-2	254
TRBV5-5	TRBJ2-2	251
TRBV11-1	TRBJ1-1	249
TRBV13	TRBJ1-1	249
TRBV25-1	TRBJ2-2	248
TRBV7-8	TRBJ2-6	247
TRBV18	TRBJ1-4	246
TRBV11-1	TRBJ1-2	245
TRBV7-4	TRBJ2-2	244
TRBV18	TRBJ2-4	242
TRBV5-4	TRBJ1-1	238
TRBV30	TRBJ2-4	236
TRBV10-2	TRBJ1-1	234
TRBV15	TRBJ2-2	230
TRBV6-3	TRBJ1-4	230
TRBV6-3	TRBJ2-2	229
TRBV10-2	TRBJ1-5	228
TRBV30	TRBJ1-4	224
TRBV7-2	TRBJ1-3	223
TRBV12-5	TRBJ2-4	222
TRBV5-6	TRBJ2-6	219
TRBV11-3	TRBJ1-4	215
TRBV4-2	TRBJ2-2	213
TRBV7-7	TRBJ2-4	213
TRBV11-3	TRBJ2-6	211
TRBV12-5	TRBJ1-5	209
TRBV13	TRBJ2-4	209
TRBV19	TRBJ2-4	207
TRBV5-8	TRBJ2-1	202
TRBV7-6	TRBJ2-6	202
TRBV10-1	TRBJ2-2	201
TRBV10-1	TRBJ1-4	199
TRBV18	TRBJ1-6	197
TRBV2	TRBJ2-2	196
TRBV11-3	TRBJ1-6	195
TRBV10-2	TRBJ2-4	192
TRBV6-1	TRBJ1-4	192
TRBV5-1	TRBJ1-3	190
TRBV5-4	TRBJ1-5	190
TRBV12-5	TRBJ1-1	185
TRBV2	TRBJ2-6	184
TRBV13	TRBJ1-5	182
TRBV6-1	TRBJ1-6	182
TRBV10-1	TRBJ1-6	179
TRBV16	TRBJ2-5	175
TRBV5-6	TRBJ2-2	175
TRBV11-3	TRBJ2-2	174
TRBV5-4	TRBJ2-4	174
TRBV9	TRBJ1-3	169
TRBV11-1	TRBJ1-5	163
TRBV6-7	TRBJ1-5	163
TRBV18	TRBJ2-6	162
TRBV2	TRBJ1-6	161
TRBV7-6	TRBJ2-2	160
TRBV6-7	TRBJ1-1	158
TRBV16	TRBJ2-3	156
TRBV30	TRBJ1-6	156
TRBV11-2	TRBJ1-3	155
TRBV16	TRBJ1-2	155
TRBV19	TRBJ1-4	152
TRBV27	TRBJ1-3	148
TRBV7-1	TRBJ2-7	143
TRBV11-1	TRBJ2-4	140
TRBV5-8	TRBJ2-3	140
TRBV7-9	TRBJ1-3	139
TRBV19	TRBJ2-6	137
TRBV6-5	TRBJ1-3	135
TRBV29-1	TRBJ1-3	132
TRBV5-8	TRBJ1-2	132
TRBV7-7	TRBJ1-4	132
TRBV5-4	TRBJ1-4	130
TRBV7-1	TRBJ2-1	130
TRBV19	TRBJ1-6	127
TRBV6-7	TRBJ2-4	127
TRBV23-1	TRBJ1-3	126
TRBV6-1	TRBJ2-6	126
TRBV10-2	TRBJ2-6	124
TRBV30	TRBJ2-6	122
TRBV13	TRBJ1-6	119
TRBV10-2	TRBJ1-4	118
TRBV13	TRBJ1-4	115
TRBV12-5	TRBJ1-4	114
TRBV12-4	TRBJ1-3	112
TRBV5-8	TRBJ2-5	112
TRBV7-7	TRBJ1-6	112
TRBV12-5	TRBJ2-6	108
TRBV3-1	TRBJ1-3	107
TRBV6-4	TRBJ1-3	106
TRBV30	TRBJ2-2	105
TRBV7-1	TRBJ2-5	105
TRBV7-7	TRBJ2-6	104
TRBV6-1	TRBJ2-2	102
TRBV10-2	TRBJ2-2	100
TRBV11-1	TRBJ2-2	94
TRBV16	TRBJ1-1	93
TRBV14	TRBJ1-3	91
TRBV5-4	TRBJ1-6	91
TRBV7-7	TRBJ2-2	91
TRBV16	TRBJ1-5	90
TRBV5-8	TRBJ1-1	90
TRBV10-2	TRBJ1-6	89
TRBV4-3	TRBJ1-3	89
TRBV5-5	TRBJ1-3	86
TRBV10-3	TRBJ1-3	85
TRBV5-4	TRBJ2-6	83
TRBV7-4	TRBJ1-3	82
TRBV12-5	TRBJ1-6	81
TRBV19	TRBJ2-2	81
TRBV5-4	TRBJ2-2	80
TRBV7-1	TRBJ2-3	78
TRBV11-1	TRBJ2-6	76
TRBV12-5	TRBJ2-2	76
TRBV13	TRBJ2-6	76
TRBV6-6	TRBJ1-3	76
TRBV28	TRBJ1-3	72
TRBV18	TRBJ2-2	71
TRBV6-7	TRBJ2-6	71
TRBV11-1	TRBJ1-4	70
TRBV16	TRBJ1-4	70
TRBV6-7	TRBJ1-6	70
TRBV5-8	TRBJ1-5	68
TRBV16	TRBJ2-4	67
TRBV6-7	TRBJ1-4	66
TRBV7-6	TRBJ1-3	65
TRBV25-1	TRBJ1-3	64
TRBV11-1	TRBJ1-6	58
TRBV15	TRBJ1-3	53
TRBV6-7	TRBJ2-2	51
TRBV7-1	TRBJ1-2	50
TRBV24-1	TRBJ1-3	49
TRBV5-8	TRBJ2-4	49
TRBV7-8	TRBJ1-3	47
TRBV5-8	TRBJ1-4	44
TRBV16	TRBJ1-6	43
TRBV7-1	TRBJ1-5	43
TRBV7-1	TRBJ1-1	42
TRBV13	TRBJ2-2	41
TRBV30	TRBJ1-3	40
TRBV11-3	TRBJ1-3	38
TRBV4-1	TRBJ1-3	38
TRBV4-2	TRBJ1-3	37
TRBV16	TRBJ2-6	31
TRBV7-1	TRBJ2-4	30
TRBV18	TRBJ1-3	28
TRBV5-8	TRBJ1-6	28
TRBV6-3	TRBJ1-3	26
TRBV19	TRBJ1-3	25
TRBV6-1	TRBJ1-3	25
TRBV7-7	TRBJ1-3	25
TRBV10-1	TRBJ1-3	24
TRBV5-8	TRBJ2-6	23
TRBV5-6	TRBJ1-3	22
TRBV7-1	TRBJ1-4	20
TRBV7-1	TRBJ1-6	20
TRBV2	TRBJ1-3	18
TRBV10-2	TRBJ1-3	17
TRBV16	TRBJ2-2	17
TRBV5-4	TRBJ1-3	16
TRBV5-8	TRBJ2-2	16
TRBV7-1	TRBJ2-6	16
TRBV7-1	TRBJ2-2	13
TRBV12-5	TRBJ1-3	11
TRBV13	TRBJ1-3	10
TRBV16	TRBJ1-3	6
TRBV5-8	TRBJ1-3	6
TRBV11-1	TRBJ1-3	5
TRBV6-7	TRBJ1-3	4
TRBV7-1	TRBJ1-3	3
