v	j	clonotypes
TRBV21-1	TRBJ2-7	52621
TRBV21-1	TRBJ2-1	31104
TRBV21-1	TRBJ2-5	25240
TRBV21-1	TRBJ2-3	19456
TRBV21-1	TRBJ1-2	17621
TRBV20-1	TRBJ2-7	17198
TRBV7-2	TRBJ2-7	16205
TRBV5-1	TRBJ2-7	14813
TRBV20-1	TRBJ2-1	14692
TRBV7-3	TRBJ2-7	13877
TRBV5-1	TRBJ2-1	13388
TRBV7-2	TRBJ2-1	11666
TRBV9	TRBJ2-7	11608
TRBV27	TRBJ2-7	11091
TRBV21-1	TRBJ1-1	10673
TRBV7-3	TRBJ2-1	10649
TRBV7-2	TRBJ2-3	10223
TRBV20-1	TRBJ2-3	9911
TRBV21-1	TRBJ1-5	9812
TRBV7-2	TRBJ2-5	9042
TRBV12-4	TRBJ2-7	8962
TRBV20-1	TRBJ2-5	8932
TRBV6-5	TRBJ2-7	8700
TRBV21-1	TRBJ2-4	8696
TRBV3-1	TRBJ2-7	8648
TRBV29-1	TRBJ2-7	8602
TRBV9	TRBJ2-1	8239
TRBV7-9	TRBJ2-7	8137
TRBV11-2	TRBJ2-7	7803
TRBV10-3	TRBJ2-7	7653
TRBV11-2	TRBJ2-1	7533
TRBV7-3	TRBJ2-3	6851
TRBV5-1	TRBJ2-5	6815
TRBV7-3	TRBJ2-5	6606
TRBV7-9	TRBJ2-1	6520
TRBV3-1	TRBJ2-1	6468
TRBV12-4	TRBJ2-1	6414
TRBV5-1	TRBJ2-3	6327
TRBV21-1	TRBJ1-4	6279
TRBV27	TRBJ2-1	6177
TRBV6-5	TRBJ2-1	6109
TRBV29-1	TRBJ2-1	6073
TRBV20-1	TRBJ1-2	5662
TRBV9	TRBJ2-5	5489
TRBV21-1	TRBJ1-6	5457
TRBV4-3	TRBJ2-7	5399
TRBV28	TRBJ2-7	5385
TRBV10-3	TRBJ2-1	5232
TRBV14	TRBJ2-7	5207
TRBV6-4	TRBJ2-7	5153
TRBV7-3	TRBJ1-2	5104
TRBV5-1	TRBJ1-2	5081
TRBV9	TRBJ2-3	5006
TRBV11-2	TRBJ2-3	4907
TRBV27	TRBJ2-5	4801
TRBV25-1	TRBJ2-7	4750
TRBV5-1	TRBJ1-1	4742
TRBV6-4	TRBJ2-1	4732
TRBV11-2	TRBJ2-5	4570
TRBV6-3	TRBJ2-7	4500
TRBV21-1	TRBJ2-6	4460
TRBV12-4	TRBJ2-5	4452
TRBV6-5	TRBJ2-5	4428
TRBV27	TRBJ2-3	4363
TRBV12-4	TRBJ2-3	4270
TRBV29-1	TRBJ2-5	4200
TRBV4-3	TRBJ2-1	4195
TRBV3-1	TRBJ2-5	4142
TRBV6-5	TRBJ2-3	4087
TRBV4-1	TRBJ2-7	4075
TRBV7-4	TRBJ2-7	4064
TRBV6-3	TRBJ2-1	4060
TRBV14	TRBJ2-1	4013
TRBV23-1	TRBJ2-7	4003
TRBV27	TRBJ1-2	3818
TRBV24-1	TRBJ2-7	3814
TRBV6-6	TRBJ2-7	3798
TRBV7-2	TRBJ1-2	3730
TRBV6-5	TRBJ1-2	3684
TRBV24-1	TRBJ2-1	3634
TRBV10-3	TRBJ2-5	3596
TRBV3-1	TRBJ2-3	3583
TRBV7-3	TRBJ1-1	3520
TRBV5-1	TRBJ1-5	3485
