v	j	clonotypes
TRBV6	TRBJ2	2194578
TRBV7	TRBJ2	1911491
TRBV5	TRBJ2	1554437
TRBV6	TRBJ1	1458277
TRBV7	TRBJ1	1195988
TRBV5	TRBJ1	1095818
TRBV20	TRBJ2	1026471
TRBV21	TRBJ2	926189
TRBV12	TRBJ2	918008
TRBV27	TRBJ2	724658
TRBV10	TRBJ2	721081
TRBV4	TRBJ2	701443
TRBV21	TRBJ1	631885
TRBV24	TRBJ2	617956
TRBV3	TRBJ2	586880
TRBV12	TRBJ1	556453
TRBV20	TRBJ1	546745
TRBV11	TRBJ2	527983
TRBV9	TRBJ2	498470
TRBV19	TRBJ2	485325
TRBV27	TRBJ1	481513
TRBV24	TRBJ1	463819
TRBV28	TRBJ2	462281
TRBV10	TRBJ1	449181
TRBV19	TRBJ1	372691
TRBV11	TRBJ1	360096
TRBV23	TRBJ2	341994
TRBV3	TRBJ1	335642
TRBV29	TRBJ2	313973
TRBV30	TRBJ2	311830
TRBV4	TRBJ1	305167
TRBV14	TRBJ2	299011
TRBV9	TRBJ1	289609
TRBV2	TRBJ2	289119
TRBV30	TRBJ1	274692
TRBV28	TRBJ1	265944
TRBV23	TRBJ1	262906
TRBV25	TRBJ2	220065
TRBV18	TRBJ2	205597
TRBV29	TRBJ1	194974
TRBV14	TRBJ1	191485
TRBV15	TRBJ2	187605
TRBV18	TRBJ1	168002
TRBV25	TRBJ1	151471
TRBV2	TRBJ1	149293
TRBV1	TRBJ2	148484
TRBV15	TRBJ1	112734
TRBV13	TRBJ2	75324
TRBV1	TRBJ1	57607
TRBV13	TRBJ1	45404
TRBV16	TRBJ2	6779
TRBV16	TRBJ1	5492
TRBV17	TRBJ2	941
TRBV22	TRBJ1	679
TRBV22	TRBJ2	677
TRBV17	TRBJ1	657
TRBV8	TRBJ2	166
TRBV8	TRBJ1	146
TRBV26	TRBJ2	49
TRBV26	TRBJ1	20
